* #    mass     width   decay prod   decay angle
  1    0.0       0.      0  0  0      0       
  2    0.000511  0.      0  0  0      0       
  3    0.000511  0.      0  0  0      0       
  4    0.0       0.      0  0  0      0       
  5    0.1057    0.      0  0  0      0       
  6    0.1057    0.      0  0  0      0       
  7    0.1350    0.      0  0  0      0       
  8    0.1396    0.      0  0  0      0       
  9    0.1396    0.      0  0  0      0       
 13    0.9396    0.      0  0  0      0       
 14    0.9383    0.      0  0  0      0       
 17    0.5475    0.      0  0  0      0       
 33    0.782     0.      0  0  0      0         
 34    1.0194    0.      0  0  0      0 
 35    0.9578    0.      0  0  0      0 
 42    0.7755    0.      0  0  0      0 
 43    0.7755    0.      0  0  0      0 
 44    0.7755    0.      0  0  0      0 
 80    0.7755    0.151   9  8  0      1
 82    1.232     0.118  14  8  0      0
 183    3.097     0.      2  3  0      2
 184    2.984     0.032  0  0  0      0
 185    3.4147    0.0108 1 183 0      0
 186    3.5107    0.00084 1 183 0     0
 187    3.5562    0.002  1 183 0      0
 188    3.686     0.     0  0  0      0
 189    1.8648    0.     0  0  0      0
 190    1.8697    0.     0  0  0      0
 191    2.0069    0.     0  0  0      0
 192    2.0103    0.     0  0  0      0
 193    2.2865    0.     0  0  0      0
 194    1.8648    0.     0  0  0      0
